"UNITID","LOCALE","LONGITUD","LATITUDE","EFFYALEV","EFFYLEV","LSTUDY","EFYTOTLT","EFYTOTLM","EFYTOTLW","EFYAIANT","EFYAIANM","EFYAIANW","EFYASIAT","EFYASIAM","EFYASIAW","EFYBKAAT","EFYBKAAM","EFYBKAAW","EFYHISPT","EFYHISPM","EFYHISPW","EFYNHPIT","EFYNHPIM","EFYNHPIW","EFYWHITT","EFYWHITM","EFYWHITW","EFY2MORT","EFY2MORM","EFY2MORW","EFYUNKNT","EFYUNKNM","EFYUNKNW","EFYNRALT","EFYNRALM","EFYNRALW","EFYGUUN","EFYGUAN","EFYGUTOT","EFYGUKN","EFFYDLEV","EFYDETOT","EFYDEEXC","EFYDESOM","EFYDENON","TUITION1","FEE1","HRCHG1","TUITION2","FEE2","HRCHG2","TUITION3","FEE3","HRCHG3","TUITION5","FEE5","HRCHG5","TUITION6","FEE6","HRCHG6","TUITION7","FEE7","HRCHG7","ISPROF1","ISPFEE1","OSPROF1","OSPFEE1","ISPROF2","ISPFEE2","OSPROF2","OSPFEE2","ISPROF3","ISPFEE3","OSPROF3","OSPFEE3","ISPROF4","ISPFEE4","OSPROF4","OSPFEE4","ISPROF5","ISPFEE5","OSPROF5","OSPFEE5","ISPROF6","ISPFEE6","OSPROF6","OSPFEE6","ISPROF7","ISPFEE7","OSPROF7","OSPFEE7","ISPROF8","ISPFEE8","OSPROF8","OSPFEE8","ISPROF9","ISPFEE9","OSPROF9","OSPFEE9","CHG1AT0","CHG1AF0","CHG1AY0","CHG1AT1","CHG1AF1","CHG1AY1","CHG1AT2","CHG1AF2","CHG1AY2","CHG1AT3","CHG1AF3","CHG1AY3","CHG1TGTD","CHG1FGTD","CHG2AT0","CHG2AF0","CHG2AY0","CHG2AT1","CHG2AF1","CHG2AY1","CHG2AT2","CHG2AF2","CHG2AY2","CHG2AT3","CHG2AF3","CHG2AY3","CHG2TGTD","CHG2FGTD","CHG3AT0","CHG3AF0","CHG3AY0","CHG3AT1","CHG3AF1","CHG3AY1","CHG3AT2","CHG3AF2","CHG3AY2","CHG3AT3","CHG3AF3","CHG3AY3","CHG3TGTD","CHG3FGTD","CHG4AY0","CHG4AY1","CHG4AY2","CHG4AY3","CHG5AY0","CHG5AY1","CHG5AY2","CHG5AY3","CHG6AY0","CHG6AY1","CHG6AY2","CHG6AY3","CHG7AY0","CHG7AY1","CHG7AY2","CHG7AY3","CHG8AY0","CHG8AY1","CHG8AY2","CHG8AY3","CHG9AY0","CHG9AY1","CHG9AY2","CHG9AY3"
100654,12,-86.568502,34.783368,2,2,1,5664,2329,3335,13,4,9,13,7,6,5070,2062,3008,67,26,41,10,4,6,119,56,63,73,22,51,234,107,127,65,41,24,2,0,2,5662,29,18918,1093,12809,5016,"8610","1414","287","8610","1414","287","17220","1414","574","10128","1414","422","10128","1414","422","20160","1414","840",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8610","1414","10024","8610","1414","10024","8610","1414","10024","8610","1414","10024",".",".","8610","1414","10024","8610","1414","10024","8610","1414","10024","8610","1414","10024",".",".","17220","1414","18634","17220","1414","18634","17220","1414","18634","17220","1414","18634",".",".","1600","1600","1600","2192","9240","9520","9520","11402","3090","3090","3090","3864","9240","9520","9520","11402","3090","3090","3090","3864","3440","3440","3440","4271"
100663,12,-86.799345,33.505697,2,2,1,14713,5534,9179,23,12,11,1137,460,677,3828,1168,2660,1029,382,647,10,5,5,7495,3005,4490,714,264,450,87,31,56,390,207,183,1,0,1,14712,29,65427,17883,35736,11808,"8832","0","368","8832","0","368","21864","0","911","8424","0","468","8424","0","468","20556","0","1142",".",".",".",".","31902","0","74362","0","32134","0","62714","0","29841","0","54012","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8568","0","8568","8568","0","8568","8832","0","8832","8832","0","8832",".",".","8568","0","8568","8568","0","8568","8832","0","8832","8832","0","8832",".",".","20400","0","20400","20400","0","20400","21216","0","21216","21864","0","21864",".",".","1200","1200","1200","1200","12307","12307","13120","13590","5555","5555","5757","5757","12307","12307","14330","14580","5555","5555","6007","6007","5555","5555","6007","6007"
100690,12,-86.17401,32.362609,2,2,1,329,125,204,1,0,1,1,0,1,221,59,162,10,7,3,1,0,1,87,57,30,0,0,0,8,2,6,0,0,0,0,0,0,329,29,2069,2069,0,0,"9480","990","455","9480","990","455","9480","990","455","11700","1390","750","11700","1390","750","11700","1390","750",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
100706,12,-86.640449,34.724557,2,2,1,8021,4724,3297,71,37,34,341,195,146,760,344,416,543,306,237,11,4,7,5551,3404,2147,369,195,174,244,146,98,131,93,38,0,0,0,0,29,29051,3583,18577,6891,"10120","1758","421","10120","1758","421","23012","1758","958","10632","1054","708","10632","1054","708","24430","1054","1628",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9730","1608","11338","9730","1758","11488","10120","1758","11878","10120","1650","11770",".",".","9730","1608","11338","9730","1758","11488","10120","1758","11878","10120","1650","11770",".",".","22126","1608","23734","22126","1758","23884","23012","1758","24770","23012","1650","24662",".",".","2200","2300","2416","2416","10652","10764","11122","11122","4076","4156","4462","4462","10652","10764","11122","11122","4076","4156","4462","4462","4076","4156","4462","4462"
100724,12,-86.295677,32.364317,2,2,1,3641,1315,2326,7,1,6,6,1,5,3367,1189,2178,47,24,23,3,3,0,56,22,34,44,15,29,36,13,23,75,47,28,0,0,0,3641,29,12151,673,8113,3365,"8328","2920","347","8328","2920","347","16656","2920","694","7416","2920","412","7416","2920","412","14832","2920","824",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","8328","2740","11068","8328","2740","11068","8328","2740","11068","8328","2920","11248",".",".","8328","2740","11068","8328","2740","11068","8328","2740","11068","8328","2920","11248",".",".","16656","2740","19396","16656","2740","19396","16656","2740","19396","16656","2920","19576",".",".","1600","1600","1600","1600","6050","6050","6050","7690","3392","3392","3392","3392","7320","7320","7320","7320","4228","5130","5130","5130","4228","5130","5130","5130"
100751,12,-87.545978,33.211875,2,2,1,35413,15394,20019,132,55,77,527,255,272,4092,1479,2613,2065,848,1217,35,15,20,25559,11353,14206,1230,483,747,1308,608,700,465,298,167,0,0,0,35413,29,121151,21298,53411,46442,"11100","800","545","11100","800","545","32400","800","1425","11100","640","635","11100","640","635","32400","640","1660",".",".",".",".",".",".",".",".","32134","0","62714","0",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","24080","300","45570","300","10780","840","11620","10780","840","11620","11100","840","11940","11100","800","11900",".",".","10780","840","11620","10780","840","11620","11100","840","11940","11100","800","11900",".",".","30250","840","31090","30250","840","31090","31460","840","32300","32400","800","33200",".",".","1000","800","800","800","13810","13934","14426","14840","4620","4670","4858","5842","13810","13934","14426","14564","4620","4670","4858","6598","5692","5742","6028","7179"
100760,32,-85.945266,32.92478,2,2,1,2464,986,1478,6,5,1,15,5,10,509,165,344,99,37,62,2,0,2,1704,717,987,108,45,63,9,6,3,12,6,6,0,0,0,2464,17,7392,2268,3240,1884,"3810","1230","127","3810","1230","127","7620","1230","254",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3990","940","4930","3690","1240","4930","3750","1240","4990","3810","1230","5040",".",".","3990","940","4930","3690","1240","4930","3750","1240","4990","3810","1230","5040",".",".","7920","940","8860","7380","1240","8620","7500","1240","8740","7620","1230","8850",".",".","1000","1000","1250","1020",".",".",".",".",".",".",".",".","10238","10238","14364","15628","4360","4360","6524","7973","4360","4360","6524","7973"
100812,31,-86.964698,34.806793,2,2,1,3394,1039,2355,46,12,34,16,7,9,444,123,321,169,46,123,4,2,2,2516,756,1760,112,42,70,73,42,31,14,9,5,0,0,0,3394,29,11284,7330,3367,587,"7530","2310","251","7530","2310","251","15060","2310","502","8688","1848","362","8688","1848","362","15072","1848","628",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
100830,12,-86.177544,32.36736,2,2,1,4496,1446,3050,12,4,8,133,55,78,1990,490,1500,86,22,64,3,0,3,1858,693,1165,171,63,108,48,13,35,195,106,89,0,0,0,4496,29,17424,3860,9368,4196,"8568","868","357","8568","868","357","19224","868","801","8118","766","451","8118","766","451","18252","766","1014",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7992","868","8860","7992","868","8860","8232","868","9100","8568","868","9436",".",".","7992","868","8860","7992","868","8860","8232","868","9100","8568","868","9436",".",".","17952","868","18820","17952","868","18820","18480","868","19348","19224","868","20092",".",".","1200","1200","1200","1500","6980","7368","7368","7368","3830","3830","4030","4478","10296","10296","10485","12762","3830","3830","4030","4478","3830","3830","4030","4478"
100858,13,-85.488258,32.599378,2,2,1,27999,13988,14011,69,34,35,761,395,366,1255,599,656,1091,538,553,20,12,8,23000,11291,11709,806,407,399,89,49,40,908,663,245,0,0,0,27999,29,98761,12048,32120,54593,"10704","1832","446","10704","1832","446","32112","1832","1338","10692","1832","594","10692","1832","594","32076","1832","1782",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10692","13832","32076","13832",".",".",".",".","10692","18916","32076","18916",".",".",".",".","10080","1716","11796","10080","1746","11826","10392","1784","12176","10704","1832","12536",".",".","10080","1716","11796","10080","1746","11826","10392","1784","12176","10704","1832","12536",".",".","30240","1716","31956","30240","1746","31986","31176","1784","32960","32112","1832","33944",".",".","1200","1200","1200","1200","13778","14596","14998","15396","5904","6028","6028","6166","13778","14596","14998","14736","5904","6028","6028","6166","5904","6028","6028","6166"
